ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status
1-55861-213-0,And They Didn't Die (Women Writing Africa),"Ngcobo, Lauretta",The Feminist Press at CUNY,272,1999-04-01,,Paperback,"<p>This is the untold story of the anti-Apartheid movement in South Africa, told by a woman who lived it. It is the story of the ordinary women of South Africa who, forced to scratch a living from the land, still found the strength to ask for respect and, in the process, made a revolution.</p>",en,1,"Height: 8.4 Inches, Length: 5.4 Inches, Weight: 0.8157103694 Pounds, Width: 0.7 Inches",16.95,https://images.isbndb.com/covers/21/36/9781558612136.jpg,Success
0-553-38020-6,Pieces of Gold,"Mosny, Nancy Young",Bantam,224,1999-03-02,,Paperback,"In New Jersey, A Conflict Breaks Out Between A White Husband And His Chinese Wife Over How To Care For Her Invalid Mother. Jenny Wants The Mother To Live In Their House, But Tomas Wants Her Sent To An Old People's Home, Claiming Jenny's Duty Is To Him And Their Three Children. The Novel Describes The Way Jenny Copes. A First Novel. Nancy Young Mosny.",en,,"Height: 8.5 Inches, Length: 5.25 Inches, Weight: 1.4550509292 Pounds, Width: 0.5 Inches",9.95,https://images.isbndb.com/covers/02/00/9780553380200.jpg,Success
0-345-43057-3,A Certain Justice,"James, P.D.",Ballantine Books,448,1998-10-31,,Mass Market Paperback,,en,First Edition,"Height: 6.83 Inches, Length: 4.25 Inches, Weight: 0.48 Pounds, Width: 0.96 Inches",7.99,https://images.isbndb.com/covers/05/71/9780345430571.jpg,Success
0-425-16241-9,Blood Tracks,"Cercone, Karen Rose",Berkley,242,1998-03-01,,Mass Market Paperback,,en,,"Height: 6.74 Inches, Length: 4.22 Inches, Weight: 0.24912235606 Pounds, Width: 0.71 Inches",5.99,https://images.isbndb.com/covers/24/15/9780425162415.jpg,Success
0-375-40100-8,"The Good Listener: Helen Bamber, A Life Against Cruelty","Belton, Neil",Pantheon,374,1999-04-27,"Bamber, Helen, Women social reformers, Women social reformers--Great Britain--Biography, Women human rights workers, Women human rights workers--Great Britain--Biography, Political atrocities, Atrocities, Political crimes and offenses--Investigation, Torture victims--Civil rights, HQ1595.B35 B45 1998, HQ1595.B35 B45 1999, 000098369, 303.48/4/092 B",Hardcover,"Part Biography, Part History, Part Moral Meditation On The Resurrection Of Torture As An Instrument Of Political Power In The Twentieth Century, The Good Listener Tells The Story Of Helen Bamber, A Good But Complex Woman Now In Her Seventies, Who Has Spent Her Life Battling To Bring The Dark Side Of History Into The Light. In Almost Every Situation In Our Century Where Mankind Has Demonstrated Its Capacity To Intensify Evil - During The Nazi Holocaust, In Algeria, Chile, Africa, The Ussr, And Israel, As Well As In Postwar Britain And Germany - Bamber Has Served As A Witness, An Expert, Or A Reproach, As Well As Repository Of Our Collective Memory Of Debasement. She Went To Bergen-belsen After World War Ii Had Ended, And Upon Her Return To London She Dedicated Herself To Caring For The Young Survivors Of The Camp. So Began Bamber's Brave Devotion To The Grim And Dangerous Task Of Undoing The Work Of The Torturer - Culminating, After Her Participation As A Central Force In Amnesty International, In Her Establishment In England Of The Foundation For The Care Of Victims Of Torture. Because Bamber's Uncanny Openness To Others Has Been One Of Her Great Skills, The Good Listener Is Rendered Even More Powerful By The Stories Of The People She Has Helped, Stories That Become Unforgettable Records Of Meaningless Human Suffering. Neil Belton. Includes Bibliographical References (p. 351-365) And Index.",en,,"Height: 9.75 Inches, Length: 6.75 Inches, Weight: 1.5069 Pounds, Width: 1.5 Inches",1.99,https://images.isbndb.com/covers/10/08/9780375401008.jpg,Success
0-8147-6658-7,"Flirting with Danger: Young Women's Reflections on Sexuality and Domination (Qualitative Studies in Psychology, 8)","Phillips, Lynn",NYU Press,253,2000-11-01,"Young women--Sexual behavior, Young women--United States--Sexual behavior, Young women, Young women--United States--Interviews, Man-woman relationships, Man-woman relationships--United States, Sexual harassment of women, Sexual harassment of women--United States, Sex discrimination against women, Sex discrimination against women--United States, Young women--Sexual behavior--United States, HQ29 .P49 2000, 306.7/08352/0973",Paperback,"1. Introduction -- 2. Contextualizing The Study: Establishing An Interpretive Framework -- 3. What's A Young Woman (not) To Think? Sifting Through Early Messages About Hetero-relations -- 4. Mirror, Mirror, On The Wall: Deciding How/who To Be In Hetero-relationships -- 5. Managing Contradictions: Getting In, Out, And Around Hetero-relations -- 6. Controlling The Damage: Making Meaning When Things Go Badly -- 7. Conclusion -- Afterword: Lingering Dilemmas: How Much Do We Want To Know? -- App. A. Individual Interview Guide -- App. B. Group Interview Discussion Topics -- App. C. Analysis: Working With The Data. Lynn M. Phillips. Includes Bibliographical References And Index.",en,1,"Height: 9 Inches, Length: 6 Inches, Weight: 0.89948602896 Pounds, Width: 0.68 Inches",22,https://images.isbndb.com/covers/65/83/9780814766583.jpg,Success
0-7358-1036-2,Mina and the Bear,"Jorg, Sabine, Reichstein, A, Jorg, S",NorthSouth,48,1999-03-01,,Hardcover,Mina Longs For A Teddy Bear Until The Doctor Tells Her A Story That Makes Her Feel Better Even Without One.,en,,"Height: 11.59 Inches, Length: 8.81 Inches, Weight: 1 Pounds, Width: 0.42 Inches",16.95,https://images.isbndb.com/covers/03/65/9780735810365.jpg,Success
0-380-79750-X,Coping With Your Difficult Older Parent : A Guide for Stressed-Out Children,"Grace Lebow, Barbara Kane",William Morrow Paperbacks,224,1999-02-01,"Family Relationships, Eldercare",Paperback,"<p><b>Do You Have An Aging Parent Who</b> -</p><ul><li>Blames you for everything that goes wrong?</li><li>Cannot tolerate being alone, wants you all the time?</li><li>Is obsessed with health problems, real, or imagined?</li><li>Make unreasonable and/or irrational demands of you?</li><li>Is hostile, negative and critical?</li></ul><p>Coping with these traits in parents is an endless high-stress battle for their children. Though there's no medical defination for difficult parents, you know when you have one. While it's rare for adults to change their ways late in life, you can stop the vicious merry-go-round of anger, blame, guilt and frustration.</p><p>For the first time, here's a common-sense guide from professionals, with more than two decades in the field, on how to smooth communications with a challenging parent. Filled with practical tips for handling contentious behaviors and sample dialogues for some of the most troubling situations, this book addresses many hard issues, including:</p><ul class=noindent><li>How to tell your parent he or she cannot live with you.</li><li>How to avoid the cycle of nagging and recriminations</li><li>How to prevent your parent's negativity from overwhelming you.</li><li>How to deal with an impaired parent who refuses to stop driving.</li><li>How to asses the risk factors in deciding whether a parent is still able to live alone.</li></ul>                        <p>...addresses common traits and issues that arise when adult children must cope with the demands of a critical and difficult aging parent.</p>",en,1,"Height: 8 Inches, Length: 5.25 Inches, Weight: 0.44 Pounds, Width: 0.5 Inches",10.99,https://images.isbndb.com/covers/75/09/9780380797509.jpg,Success
1-55861-214-9,A Matter of Time,"Deshpande, Shashi",The Feminist Press at CUNY,272,1999-06-01,"Families, Families--India--Karnataka--Fiction, PR9499.3.D474 M38 1999, 823",Hardcover,"A Novel About A Wife In India Who Is Abandoned By Her Husband, A Professor. With Her Three Daughters She Is Forced To Move Into Her Parents' House, Where She Reconnects With An Estranged Sister. Shashi Deshpande ; Afterword By Ritu Menon. First Published In 1996 By Penguin Books India, New Delhi, India--t.p. Verso. Includes Bibliographical References.",en,,"Height: 9 Inches, Length: 5.75 Inches, Weight: 1.1 Pounds, Width: 1 Inches",0.00,https://images.isbndb.com/covers/21/43/9781558612143.jpg,Success
0-231-09995-9,Lesbian Desire in the Lyrics of Sappho,"Snyder, Jane McIntosh",Columbia University Press,261,1998-10-15,,Paperback,"This is the first book to examine Sappho's poetry through the lens of lesbian desire. Snyder provides close readings of the surviving examples of Sappho's poetry, occasionally presenting comparative material from other ancient Greek poets. The original Greek text is included in an appendix.
<p><i>-What emerges in this careful and engaging study is an explication of Sappho's work and its literary environment, which illuminates both Sappho and the ways she has been read, adopted, and co-opted over the centuries. Without polemics, and with scrupulous candor and fidelity to the originals, Snyder allows even those readers who are, as she puts it, 'Greekless' to find their connection with the vitality of the words and the poems, which often exist on the page in only the most fragmentary form. By returning often to the bits of text that contain key words and phrases, Snyder actually succeeds in intimating poems where only hints remain.</i> -Choice <i>-Snyder offers a comprehensive treatment of Sappho's poetry for the Greekless reader, including transliterations and translations of the Greek. She elucidates Sappho's representation of female desire and her influence on modern American women poets.</i> -Helene Foley <i>-author of</i> Homeric Hymn to Demeter</p>",en,,"Height: 9.21 Inches, Length: 6.14 Inches, Weight: 0.91 Pounds, Width: 0.59 Inches",32,https://images.isbndb.com/covers/99/50/9780231099950.jpg,Success
0-688-16450-1,The Spirit of Intimacy: Ancient Teachings In The Ways Of Relationships,"Some, Sobonfu",William Morrow,144,1999-01-20,"Interpersonal relations--Religious aspects, Intimacy (Psychology)--Religious aspects, Dagaaba (African people)--Religion, Dagaaba (African people)--Burkina Faso--Religion, BL626.33 .S66 1999, 158.2",Hardcover,Sobonfu Somé.,en,First Edition,"Height: 7.5 Inches, Length: 5.25 Inches, Weight: 0.5 Pounds, Width: 0.75 Inches",19.95,https://images.isbndb.com/covers/45/08/9780688164508.jpg,Success
0-395-96658-2,All She Was Worth,Miyuki Miyabe,Mariner Books,296,1999,,Paperback,"<p><p>Here is a deftly written thriller that is also a ""deep and moody"" (NEW YORK TIMES BOOK REVIEW) journey through the dark side of Japan's consumer-crazed society. Ordinary people plunge into insurmountable personal debt and fall prey to dangerous webs of underground creditors-so dangerous, in fact, that murder may be the only way out. A beautiful young woman vanishes, and the detective quickly finds she is not whom she claims to be. Is she a victim, a killer, or both? In a country that tracks its citizens at every turn, how can two women claim the same identity and then disappear without a trace?<p></p><h3>Publishers Weekly</h3><p>The horror in this beautifully fashioned tale of stolen identity lies not in the cold-blooded crimes but in the motive-a desperate hunger for consumer goods. Shunsuke Honma, a widowed 43-year-old Tokyo police inspector with a 10-year-old son, is on disability leave. The boring cycle of idleness punctuated by painful physical therapy sessions comes to a halt when a nephew asks for Honma's help in finding his missing fiance, whom he knows as Shoko Sekine. As Honma's search intensifies, he realizes the fiance had actually assumed Sekine's identity and possibly killed her. For the American reader, the jewel in this enormously compelling novel is the portrait of working- and middle-class Japanese getting caught in a cycle of astronomical personal debt in order to enjoy the good life. Also eye-opening is Japan's elaborate registry system for keeping track of its citizenry. In order to become Shoko Sekine, the impostor had to perpetrate an ingeniously elaborate series of hoaxes and lies. Honma is tenacious, methodical, an attentive listener with a retentive memory and the ability to connect disparate bits of information. The trail takes him back through the real Sekine's history and into the life of the other woman, whose family ran afoul of vicious loan sharks. Miyabe drives her complex plot with spare prose, combining expert pacing and psychological nuance to ultimately haunting effect. (Feb.) FYI: All She Was worth was named Best Novel of the year and Best Mystery for 1992 in Japan.</p>",en,1,"Height: 8.25 Inches, Length: 5.75 Inches, Weight: 0.7 Pounds, Width: 0.75 Inches",13.95,https://images.isbndb.com/covers/65/87/9780395966587.jpg,Success
0-393-04722-9,On the Bus With Rosa Parks: Poems,"Dove, Rita",W W Norton & Co Inc,95,1999,"African American Women Civil Rights Workers, Civil Rights Movements, African American Women, African Americans",Hardcover,,en,1,"Height: 8.75 Inches, Length: 6.5 Inches, Weight: 0.59083886216 Pounds, Width: 0.5 Inches",21,https://images.isbndb.com/covers/72/26/9780393047226.jpg,Success
0-8006-3145-5,Mystics Visionaries and Prophets,,Fortress Press,502,1998,"Religion, Christianity",Hardcover,"<p>Unique in its range and depth, this anthology for the first time captures in a single volume the most notable spiritual writings of illustrious women from all periods of Christian history. Madigan's generous selections reveal how deeply women's mystical quest for intimacy with God has also entailed personal commitment and prophetic social witness. Ranging from Perpetua in the third century to Mother Teresa and Edwina Gateley in this century, Madigan's volume includes writings from both lesser- and better-known women and, in the modern period, from Asian, American, and African American women. Informative historical introductions and bibliographies augment writings of these twenty-seven Christian visionaries.</p>",en,First Edition,"Height: 9.5 Inches, Length: 6.75 Inches, Weight: 1.8077905484 Pounds, Width: 1.5 Inches",0.00,https://images.isbndb.com/covers/14/51/9780800631451.jpg,Success
0-415-92000-0,Race in the Mind of America: Breaking the Vicious Circle Between Blacks and Whites,"Wachtel, Paul L.",Routledge,342,1999-01-22,,Hardcover,"<p>Internationally recognized psychologist Paul L. Wachtel sheds new light on the psychological foundations of our nation's racial impasse and applies his pathbreaking ""vicious circle"" approach to help resolve it. This timely and fascinating analysis shows how the ways we attempt to cope with racial tensions and inequalities often lead to the perpetuation of our difficulties rather than their resolution. Understanding the ironies that characterize contemporary race relations is the first step toward extricating our nation from the vicious circle.</p>
<p>Both controversial and healing, <b>Race in</b> <b>the Mind of America</b> challenges the orthodoxies that shape black and white opinion and liberal and conservative policies while sensitively exploring the way the world looks to both sides and why it looks that way. Wachtel probes the daily experiences of blacks and whites, shedding new light on how individual experiences and larger social, historical and economic forces continually re-create each other. In illustrating how blacks and whites get caught in vicious circles that sustain the very behaviors and attitudes they wish would change, Wachtel also points toward the concrete solutions to our seemingly enduring dilemmas and shows how to move beyond the adversarial rhetoric that divides us.</p>",en,1,"Height: 9.25 Inches, Length: 6.25 Inches, Weight: 1.7416518698 Pounds, Width: 0.75 Inches",175,https://images.isbndb.com/covers/00/01/9780415920001.jpg,Success
1-56455-671-9,Pema Chodron And Alice Walker In Conversation: On The Meaning Of Suffering And The Mystery Of Joy,"Chodron, Pema, Walker, Alice",,,,,,,en,,,0.00,https://images.isbndb.com/covers/67/14/9781564556714.jpg,Success
1-875559-66-3,Talking Up: Young Women's Take on Feminism,,Spinifex Press,239,1998-11-28,"Feminism, Feminism--Australia, Feminists, Feminists--Australia, Feminism--Public opinion, Feminism--Australia--Public opinion, Young women--Attitudes, Young women--Australia--Attitudes, Public opinion, Public opinion--Australia, HQ1822 .T34 1998",Paperback,"Feminist Glasses / Ingrid Fitzgerald -- How To Be A Woman: Things I Learned In College / Rosie Cooney -- Like A Corporate Virgin / Tara Gutman -- Finding My Feminism / Kate Lundy -- Drawing The Frontline: Love, Sex And Revenge / Jo Dyer -- Naked Feminism / Louisa Smith -- Weighing In As A Feminist / Debra Shulkes -- Generation (se)x / Anita Harris -- Girlie Duco: Notes On Fem(me)inism / Galina Laurie -- Mothers, Daughters, Sisters / Louise D'arcens -- Sisters At Any Age / Ingrid Mckenzie. Lines Of Women / Virginia Mclean -- Big F, Little F / Airlie Bussell -- The Book Of Revelations / Emily Ballou -- In Contempt / Cassandra Austin -- Scattered Speculations On Being A White Feminist / Krysti Guest -- Seeking A Place / Stephanie Gilbert -- Lines Of Demarcation: Beijing 1995 / Suzette Mitchell -- What You See Is Not What You Get / Vivienne Wynter -- Reading Magazines / Samantha Brazel -- The Strategic Politics Of Organisation / Misha Schubert. Edited By Rosamund Else-mitchell & Naomi Flutter. Includes Bibliographical References (p. 229-234).",en,1,"Height: 8 Inches, Length: 5 Inches, Weight: 0.57099725858 Pounds, Width: 0.78 Inches",1.99,https://images.isbndb.com/covers/96/64/9781875559664.jpg,Success
0-688-16979-1,The Life and Humor of Rosie O'donnell: A Biography,"Goodman, Gloria, Adler, Bill",Harper Perennial,240,1999-07-21,,Paperback,"<p>Covering O'Donnell's life from her youth on Long Island to her breakout talk show, Gloria Goodman's biography chronicles Rosie's difficult childhood after her mother's death and her rise through the ranks of stand-up comedy. Goodman celebrates her present overwhelming popularity as the talk-show host who has changed the face of daytime television with her unique brand of kinder, gentler entertainment. From singing TV theme songs to celebrating her devotion to Tom Cruise to her triumphant interview with Barbra Streisand, Rosie is a wonderfully different kind of star, one whose irresistible love of show business shines through every day and lights up countless lives.</p>",en,Updated,"Height: 8 Inches, Length: 5.5 Inches, Weight: 0.5 Pounds, Width: 0.75 Inches",12,https://images.isbndb.com/covers/97/94/9780688169794.jpg,Success
1-889330-22-1,A Gram of Mars: Stories,"Hagenston, Becky",Sarabande Books,192,1998-12-01,"Families, Families--Maryland--Fiction, Social life and customs, PS3558.A32316 G73 1998, 813/.54",Paperback,"Stories On Love And Marriage. In The Title Story A Husband Suffers A Breakdown When His Ex-wife Remarries, In All The Happiness In The World A Woman Steals A Friend's Man, While Till Death Do Us Part Features The Reflections Of A Daughter As She Watches Her Mother Marry For The Fourth Time. A Gram Of Mars -- Close Enough -- Till Death Do Us Part -- Holding The Fort -- All The Happiness In The World -- Parking Lot Ham And Other Acts Of God -- Fugue -- Fishook Girl. Becky Hagenston.",en,1,"Height: 9 Inches, Length: 6 Inches, Weight: 0.72311621936 Pounds, Width: 0.5 Inches",13.95,https://images.isbndb.com/covers/02/28/9781889330228.jpg,Success
0-525-94422-2,In the Land of God and Man: Confronting Our Sexual Culture,"Paternostro, Silvana",Dutton Adult,304,1998-11-01,,Hardcover,"As The Daughter Of The Privileged Colombian Elite, Paternostro Was Brought Up To Go From Convent School To Cocktail Parties, Obedient To God And Man, Never Questioning The Injustice She Saw All Around Her. She Left Latin America Twenty Years Ago, But Returned Recently To Brazil To Research A Report On Women And Aids. There She Was Confronted With The Startling Fact That Married, Monogamous Women Were At Much Greater Risk Of Being Hiv-positive Than Female Prostitutes. Interviewing A Colombian Aids Specialist, Paternostro Found That 80 Percent Of His Female Hiv Patients Were Infected Because Their Husbands Were Having Unprotected Sex With Other Men. The Aids Epidemic Was Exposing What The Author Instinctively Knew; That Behind The Silence, Secrets, Guilt, And Shame About Sex In Staunchly Catholic Latin America Is A Paradoxical Reality Where Prostitution, Male Bisexuality, And Transvestism Are Routine And Accepted Parts Of Life At Every Level Of Society. A Blend Of History, Painstaking Research, Blistering Social Commentary, And The Author's Own Vivid Anecdotes And Impressions, In The Land Of God And Man Is A Rich, Compelling Chronicle About Those Who Are Paying For This Ignorance And Inequality With Their Lives. Brave And Passionate, This Is A Call To Arms To Women To Educate Themselves, Make Informed Choices, And Ultimately, Rewrite The Laws That Control Their Lives. Silvana Paternostro. Includes Bibliographical References (p. [315]-319) And Index.",en,First Edition,"Height: 8.8 Inches, Length: 5.82 Inches, Weight: 1.1 Pounds, Width: 1.17 Inches",25.95,https://images.isbndb.com/covers/42/25/9780525944225.jpg,Success
1-880684-46-2,Assault on Paradise,"Lobo, Tatiana",Curbstone Books,298,1998-05-01,,Paperback,"<p>Assault on Paradise vividly depicts the Conquistadores and the Church invading Central America, impoverishing one world to enrich another. In a fast-paced, bawdy, swashbuckling adventure in Central America of the early 1700s, Costa Rican novelist Tatiana Lobo lays bare the dark legacy of the Conquistadores and the Church. Through the central picaresque story of Pedro Albaran, Lobo dramatizes the intrigues of politicians and the Inquisition and the bloody battles between the native people and the invaders, while simultaneously presenting a reverent poetic recreation of indigenous cosmogony and mystical values which the natives seek to use to drive out the invaders.</p><h3>Library Journal</h3><p>On the one hand a hilarious swashbuckling adventure, on the other a bloody, bitter indictment of the Catholic Church in the colonizing of Central America, this novel deservedly won the Sor Juana Ines de la Cruz Prize in 1995. Pedro Albaran, first victim and then instrument of the Inquisition, arrives in Costa Rica in the first decade of the 18th century. In his tender love for a native woman, he embraces her culture without ever understanding it and then must watch his Spanish countrymen wreak havoc on her--and their daughter's--people. The novel is kept moving rapidly by its memorable cast of characters, including a sensuous tavern keeper, a deranged priest, and corrupt politicians. Born in Chile, Lobo has lived in Costa Rica since 1966. She has published five other books in Spanish; one hopes that they, too, will soon be translated into English.--Mary Margaret Benson, Linfield Coll. Lib., McMinnville, OR</p>",en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 1.0582188576 Pounds, Width: 1.1 Inches",18.95,https://images.isbndb.com/covers/44/67/9781880684467.jpg,Success
1-56341-110-5,"To Be Continued, Take Two",,Firebrand Books,176,1999-04-01,"Short Story Anthologies, Gay & Lesbian Fiction",Paperback,"<p>These eleven dnamic storytellers were first brought together in To Be Continued... when their stories - fantasy and reality, the near past and far future, contemporary lesbian life and escapist encounters - left readers hanging at the provervbial cliff's edge clamoring for more.. Now here they are once again in To Be Continued&#58; Take Two, picking up where they stopped six months ago without missing a beat, spinning tales to their often unpredictable conclusions.</p>",en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.6 Pounds, Width: 0.5 Inches",0.00,https://images.isbndb.com/covers/11/06/9781563411106.jpg,Success
0-8476-9137-3,Millennium Girls: Today's Girls Around the World,"Inness, Sherrie A.",Rowman & Littlefield Publishers,304,1998-10-29,"Girls--Social conditions, HQ777 .M42 1998, 305.23",Paperback,"What Are Girls Made Of? Exploring The Symbolic Boundaries Of Femininity In Two Cultures / Rika Sakuma Sato -- For Sale : A Girl's Life In The Global Economy / Barbara Kaoru Ige -- Hasidic Girls : Daily Lives And Inner Worlds / Stephanie Levine -- Zulu Goddess And Her Virgin Daughters / Kendall And Students -- I'll Tell You What I Really, Really Want : Girl Power And Self-identity In Britain / Shelley Budgeon -- Spice Girls' Talk : A Case Study In The Development Of Gendered Identity / Dafna Lemish -- Beyond Barbie : Fashioning A Market In Interactive Electronic Games For Girls / Karen Orr Vered -- Transforming Visions : A French Toast To American Girlhood In Luc Besson's The Professional / Margaret Mccarthy -- Feeling Better With Bravo : German Girls And Their Popular Youth Magazine / Mareike Herrmann -- Pornography Or Therapy : Japanese Girls Creating The Yaoi Phenomenon / Kazuko Suzuki -- Do Bad Girls Get A Bum Rap? Sexual Solutions And State Interventions / Laurie Schaffner. Edited By Sherrie A. Inness. Includes Bibliographical References And Index.",en,,"Height: 9 Inches, Length: 5.75 Inches, Weight: 0.9 Pounds, Width: 0.75 Inches",17.95,https://images.isbndb.com/covers/13/71/9780847691371.jpg,Success
0-609-60362-0,"Guenevere, Queen of the Summer Country (Guenevere Novels)","Miles, Rosalind",Crown,424,1999-02-02,"Guenevere, Queen (legendary Character), Arthurian Romances, History",Hardcover,,en,First Edition,"Height: 10 Inches, Length: 6.5 Inches, Weight: 1.7 Pounds, Width: 1.25 Inches",24,https://images.isbndb.com/covers/36/28/9780609603628.jpg,Success
0-8032-6151-9,"When I Was a German, 1934-1945: An Englishwoman in Nazi Germany","Bielenberg, Christabel",University of Nebraska Press,285,1998-11-01,,Paperback,"This Fascinating Glimpse Of Nazi Germany Is Provided By An Englishwoman Who Was Fluent In German And At Home In German Society, Yet Not Entirely Of It. Christabel Bielenberg Moved From Passive To Active Resistance As Hitler Seized Power And The Nazi Dictatorship Clamped Down. Dramatis Personae -- Prologue -- The Years Before -- Berlin. The Blockwart ; Cold Interlude ; A Dinner Party ; Our Neighbours ; A Dangerous Tea Party ; A Hospital In Bad Aussee ; Star Of David -- Rohrbach In The Black Forest. Our Arrival In Rohrbach ; The Terweil Story ; Invasionitis ; Adam ; The American Airman ; The Plot Of July 20th ; Russian Interlude ; A Journey To Berlin ; Berlin ; Lexi ; A Visit To Ravensbruck Concentration Camp ; Interrogation In The Prinz Albrechtstrasse ; Return To Rohrbach ; Peter's Return; Peter's Story ; The End. Christabel Bielenberg ; Introduction To The Bison Books Edition By Klemens Von Klemperer. First Bison Books Printing: 1998--t.p. Verso. Originally Published: The Past Is Myself. London : Chatto & Windus, 1968.",en,,"Height: 8 Inches, Length: 5.25 Inches, Weight: 0.70106999316 Pounds, Width: 0.67 Inches",23.95,https://images.isbndb.com/covers/15/18/9780803261518.jpg,Success
1-56512-104-X,Right from Wrong: A Novel,"Bonner, Cindy",Algonquin Books,336,1999-03-01,"World War, 1914-1918, World War, 1914-1918--Fiction, Young women, Young women--Fiction, PS3552.O6362 R54 1999, 813/.54",Hardcover,"The Doomed Romance Of Two Cousins In 1910s Texas. Warned By Family Of The Dangers Of Incest, Gil And Sunny Separate, He Off To World War I While She Marries Twice, Each Time Badly. On His Return He Also Marries, Badly. Reunited They Elope To France, But Fate Is Not Kind To Them. By Cindy Bonner.",en,First Edition,"Height: 8.47998304 Inches, Length: 5.83998832 Inches, Weight: 1.25 Pounds, Width: 1.12999774 Inches",0.00,https://images.isbndb.com/covers/10/41/9781565121041.jpg,Success
0-385-33289-0,The Burning Road,"Benson, Ann",Delacorte Press,480,1999-04-13,,Hardcover,,en,First Edition,"Height: 10 Inches, Length: 6.5 Inches, Weight: 1.8 Pounds, Width: 1.75 Inches",0.00,https://images.isbndb.com/covers/28/97/9780385332897.jpg,Success
0-688-17012-9,Heaven's Harlots: My Fifteen Years in a Sex Cult,"Williams, Miriam",Eagle Brook,297,1999-06-02,,Paperback,"An explosive first-person account by a young woman who spent fifteen years in a sex cult called the Children of God, which encouraged ""sacred prostitution"" and taught that ""The Lord is our pimp.""
<p>Miriam Williams was an idealistic child of the sixties who, at seventeen, accepted an invitation from a ""Jesus person"" to visit a commune in upstate New York. She would soon be prostituting herself for a perverse cult that used sex to lure sinners to the Lord -- and this is her shocking, searingly honest account of a fifteen-year spiritual odyssey gone haywire.</p>
<p>The Children of God turned its female devotees into Heaven's Harlots, leading strangers to the love of God by enticing them with the pleasures of the flesh. At its height, the cult boasted 19,000 members around the world: In such places as France and Monte Carlo, young women, Miriam among them, mingled with the rich and famous to save their souls, and in this unsparing, unnerving autobiography, she'll identify some of her high-profile ""clients."" She left this bizarre world in an attempt to protect her son, born through an arranged marriage and kidnapped by his father.</p>
<p>Now, in a clear, compelling, cautionary tale, she shares both her extraordinary existence as a holy whore and the daunting experience of rebuilding a normal life -- an ordeal that led her to found a group dedicated to helping other cult survivors reclaim their souls as well.</p>",en,First Edition,"Height: 9.25 Inches, Length: 6.13 Inches, Weight: 0.9590108397 Pounds, Width: 0.73 Inches",13,https://images.isbndb.com/covers/01/27/9780688170127.jpg,Success
0-7679-0080-4,An Altar of Words: Wisdom to Comfort and Inspire African-American Women,"Avery, Byllye",Broadway,192,1999-04-20,"Religious Inspiration for African Americans, Religious Inspiration for Women, African Americans - Religion",Paperback,"In this loving, personal, and healing book, acclaimed activist and visionary Byllye Avery shows how the power of words can transform and enrich our lives. An altar is a sacred place for reflection, self-examination, and renewal. Altars provide a refuge, offering safety and solace while we explore the spirit within us. An Altar of Words provides an opportunity to create a verbal sacred space. In intimate meditations, Avery examines words such as Activism, Belonging, Courage, Love, Pride, Sisternomics, and Wisdom, and encourages each of us to strengthen our inner spirit, make changes, and be at peace.",en,Reprint,"Height: 7.25 Inches, Length: 5.5 Inches, Weight: 0.330693393 Pounds, Width: 0.5 Inches",0.00,https://images.isbndb.com/covers/08/05/9780767900805.jpg,Success
1-57324-127-X,Uppity Women of the Renaissance,Vicki Leon,Conari Pr,308,1999-03-01,"Renaissance - History, Women's History - Middle Ages & Renaissance, Women's Biography - General & Miscellaneous",Paperback,"<p>Take a Romp through the Renaissance when uppity women ruled! In an era typically associated with famous men, infamous women also abounded: Catalina de Erauso, who dueled, drank, and cross-dressed her way through Spain and North America; Christina of Denmark, a dimpled sixteen-year-old widow who turned down Henry VIII (and lived to tell about it); and Veronica Franco, an Italian poet and courtesan turned politician who lobbied in defense of Venice's painted ladies, to name just a few.</p>",en,illustrated edition,"Height: 7.25 Inches, Length: 7.25 Inches, Weight: 1.10010668738 Pounds, Width: 1 Inches",1.99,https://images.isbndb.com/covers/12/74/9781573241274.jpg,Success
0-7043-4540-4,Heaven and Hearth,"Pagram, Beverly","Women's Press, Ltd. (UK)",216,1997-10-01,,Paperback,,en,,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.4629707502 Pounds, Width: 0.5 Inches",15.99,https://images.isbndb.com/covers/54/09/9780704345409.jpg,Success
0-684-83354-9,Hard Evidence: A CAT MARSALA MYSTERY,"D'Amato, Barbara",Scribner,256,1999-05-11,,Hardcover,,en,First Edition,"Height: 8.75 Inches, Length: 6 Inches, Weight: 0.9121875 Pounds, Width: 1 Inches",22,https://images.isbndb.com/covers/35/45/9780684833545.jpg,Success
